"","X.x","primacy_agency_code","pwsid","centroid_lat","centroid_lon","DAC_pre","DAC_post","pop.x","urban","rural","pop_adjust.x","urban_adjust","rural_adjust","pop.y","hisp","white","black","aian","asian","nhpi","other","pop_adjust.y","hisp_adjust","white_adjust","black_adjust","aian_adjust","asian_adjust","nhpi_adjust","other_adjust","...1","mhi_all_weighted","mhi_all_unweighted","mhi_centroid_weighted","mhi_centroid_unweighted","StateCode","PopulationServedCount","X.y","health_based_count","total_count","white_percent","hisp_percent","black_percent","aian_percent","asian_percent","nhpi_percent","other_percent","urban_percent","rural_percent","X","PARTY"
"153",153,"AK","AK2310900",64.8672895,-147.8194533,1,0,15500,13515,1985,11428.9043530506,10627.3996424602,801.504710590421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84103.6966159777,83188.1363636364,81706.8574579752,80745.3636363636,"AK",27000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.9870380761697,7.01296192383027,651,"Democrat"
"154",154,"AK","AK2210485",61.1552,-149.95189,0,0,3006,3006,0,1414.54288690277,1414.54288690277,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117945.994626243,112938,NA,NA,"AK",465,762,0,1,NA,NA,NA,NA,NA,NA,NA,100,0,652,"Democrat"
"155",155,"AK","AK2310803",64.89573,-147.66258,0,0,937,712,225,24.4474869365336,20.2045893492424,4.24289758729124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101367.36286201,98711.5,NA,NA,"AK",65,1472,0,2,NA,NA,NA,NA,NA,NA,NA,82.6448518070347,17.3551481929653,653,"Democrat"
"156",156,"AK","AK2110318",58.356716,-134.491116,1,0,171,171,0,7.71054449773034,7.71054449773034,0,171,16,91,3,29,10,0,22,7.95208759631377,1.40322671095675,3.59261586721382,0.0496232544547999,0.669453018707146,0.734695525114908,0,1.50247321986635,NA,81194,81194,NA,NA,"AK",250,679,4,7,45.1782732986894,17.6460167718377,0.624028015961532,8.41858204652417,9.23902706322651,0,18.8940728037607,100,0,654,"Democrat"
"157",157,"AK","AK2260333",58.6755335,-156.994126,1,0,67,0,67,66.0638489296273,0,66.0638489296273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64435.6158038147,65625.5,NA,NA,"AK",66,1260,0,42,NA,NA,NA,NA,NA,NA,NA,0,100,655,"Democrat"
"158",158,"AK","AK2110449",58.39402,-134.55809,1,0,1540,1540,0,169.675601734852,169.675601734852,0,1540,84,883,8,181,115,29,240,172.823934419897,13.6854147232854,83.3449963026255,1.04667346225872,17.6284733936631,16.6139648331794,2.14833204693878,38.3560796579459,NA,76250,76250,NA,NA,NA,NA,681,4,30,48.2253783785113,7.91870337243628,0.605629923755644,10.2002500133069,9.61323145948856,1.24307553473418,22.1937313177671,100,0,656,"Democrat"
"159",159,"AK","AK2243103",60.485037,-151.157032,1,0,174,174,0,20.3728480717419,20.3728480717419,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64764,64764,NA,NA,"AK",85,1125,0,41,NA,NA,NA,NA,NA,NA,NA,100,0,657,"Democrat"
"160",160,"AK","AK2211130",61.223684,-149.792399,1,0,1081,1081,0,84.3618639347096,84.3618639347096,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69417.0278220548,70868,NA,NA,"AK",100,778,2,5,NA,NA,NA,NA,NA,NA,NA,100,0,658,"Democrat"
"161",161,"AK","AK2214007",61.11855,-149.72592,0,0,431,431,0,31.4347398231697,31.4347398231697,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250001,250001,NA,NA,"AK",60,823,0,2,NA,NA,NA,NA,NA,NA,NA,100,0,659,"Democrat"
"162",162,"AK","AK2224036",61.6183777,-149.3107243,1,0,14909,11424,3485,9518.27285726054,9012.10419157346,506.168665687073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84947.7235144967,85433.5,88882.3919284183,91005.8,"AK",120,996,0,1,NA,NA,NA,NA,NA,NA,NA,94.6821374709702,5.31786252902981,660,"Democrat"
